Course Code,Title,Subject,Instructor,Sections,Students Enrolled,Average GPA
AAS 100,Intro Asian American Studies,AAS,All Sections,78,2055,3.4885012165450124
AAS 100,Intro Asian American Studies,AAS,"Shin, J.",4,94,3.7379787234042547
AAS 100,Intro Asian American Studies,AAS,"Rosado-Torres, A.",3,80,3.7337499999999997
AAS 100,Intro Asian American Studies,AAS,"Horton, C.",4,112,3.6786607142857144
AAS 100,Intro Asian American Studies,AAS,"Kim, G.",2,48,3.6531249999999993
AAS 100,Intro Asian American Studies,AAS,"Mukhopadhyay, A.",5,126,3.6112698412698405
AAS 100,Intro Asian American Studies,AAS,"Boonsripaisal, S.",6,175,3.5792571428571427
AAS 100,Intro Asian American Studies,AAS,"Lee, S.",4,102,3.529705882352941
AAS 100,Intro Asian American Studies,AAS,"Zheng, R.",9,227,3.5186343612334796
AAS 100,Intro Asian American Studies,AAS,"Atienza, P.",4,107,3.5110280373831775
AAS 100,Intro Asian American Studies,AAS,"Wang, Y.",14,356,3.492612359550562
AAS 100,Intro Asian American Studies,AAS,"Guruparan, A.",4,111,3.4748648648648652
AAS 100,Intro Asian American Studies,AAS,"Gonzalez, D.",3,79,3.401139240506329
AAS 100,Intro Asian American Studies,AAS,"Espiritu, A.",1,27,3.370740740740741
AAS 100,Intro Asian American Studies,AAS,"Uhall, M.",2,56,3.3517857142857146
AAS 100,Intro Asian American Studies,AAS,"Park, D.",2,64,3.33328125
AAS 100,Intro Asian American Studies,AAS,"Kang, Y.",6,157,3.252929936305733
AAS 100,Intro Asian American Studies,AAS,"Thomas, M.",1,32,3.1465625000000004
AAS 100,Intro Asian American Studies,AAS,"Roy, S.",2,52,3.109615384615385
AAS 100,Intro Asian American Studies,AAS,"Chapekar, P.",2,50,3.0539999999999994
AAS 105,Intro to Arab Am Studies,AAS,"Sharif, L.",1,33,3.696969696969697
AAS 120,Intro to Asian Am Pop Culture,AAS,All Sections,3,82,3.5898780487804887
AAS 120,Intro to Asian Am Pop Culture,AAS,"Huang, N.",1,21,3.7776190476190474
AAS 120,Intro to Asian Am Pop Culture,AAS,"Tabares, L.",1,30,3.6229999999999998
